# ESLint baseline (codigo producto, vendor excluido)
# Generado: 2026-08-25T11:50:58.205Z

backend/services/loadPlanner.js               errors=    5 warnings=  0 files=1
backend/services/redis-cache.js               errors=    5 warnings=  0 files=1
backend/services/repartidor-liquidacion-outbox-service.js errors=    5 warnings=  0 files=1
scripts/opencode-governance                   errors=    5 warnings=  0 files=5
backend/__tests__/bolsa-comercial.service.test.js errors=    4 warnings=  0 files=1
backend/__tests__/chatbot_evaluation_tools.test.js errors=    4 warnings=  0 files=1
backend/__tests__/evolution.service.test.js   errors=    4 warnings=  0 files=1
backend/__tests__/objectives-alignment.test.js errors=    4 warnings=  0 files=1
backend/__tests__/repartidor-liquidacion-outbox-service.test.js errors=    4 warnings=  0 files=1
backend/middleware/auto-cache.js              errors=    4 warnings=  0 files=1
backend/scripts/_e2e_perfil_reparto_writes.js errors=    4 warnings=  0 files=1
backend/scripts/_e2e_reparto_boss_gate.js     errors=    4 warnings=  0 files=1
backend/scripts/erp_cobros_inventory.js       errors=    4 warnings=  0 files=1
backend/scripts/execute-vista-unificada.js    errors=    4 warnings=  0 files=1
backend/scripts/repartidor_finance_db_inventory.js errors=    4 warnings=  0 files=1
backend/scripts/validation                    errors=    4 warnings=  0 files=1
backend/scripts/verify-024-migration.js       errors=    4 warnings=  0 files=1
backend/services/dsedac-exports.service.js    errors=    4 warnings=  1 files=1
backend/services/pdf.service.js               errors=    4 warnings=  0 files=1
backend/tests/test_vendor_column_transition.js errors=    4 warnings=  0 files=1
backend/__tests__/auth-claims-login-handler.test.js errors=    3 warnings=  0 files=1
backend/__tests__/auth-repartidor-claims.test.js errors=    3 warnings=  0 files=1
backend/__tests__/auth.test.js                errors=    3 warnings=  0 files=1
backend/__tests__/business-audit-pedidos-cobros-bolsa.test.js errors=    3 warnings=  0 files=1
backend/__tests__/facturas-service.test.js    errors=    3 warnings=  0 files=1
backend/__tests__/repartidor-rutero-orden.test.js errors=    3 warnings=  0 files=1
backend/__tests__/whatsapp-gateway-service.test.js errors=    3 warnings=  0 files=1
backend/config/reparto-confirmation-bootstrap.js errors=    3 warnings=  0 files=1
backend/repositories/reparto-confirmation-db2-repository.js errors=    3 warnings=  0 files=1
backend/routes/evolution.js                   errors=    3 warnings=  0 files=1
backend/routes/health.js                      errors=    3 warnings=  0 files=1
backend/scripts/_cert_field_gaps.js           errors=    3 warnings=  0 files=1
backend/scripts/_e2e_dual_jwt_reparto.js      errors=    3 warnings=  0 files=1
backend/scripts/_e2e_inspect_reparto_schema.js errors=    3 warnings=  0 files=1
backend/scripts/_e2e_perfil_reparto_probe.js  errors=    3 warnings=  1 files=1
backend/scripts/_e2e_probe_evidence_insert.js errors=    3 warnings=  0 files=1
backend/scripts/_ssh_mint_repartidor_jwt.js   errors=    3 warnings=  0 files=1
backend/scripts/benchmark-endpoints.js        errors=    3 warnings=  0 files=1
backend/scripts/certify-reparto-confirm-local.js errors=    3 warnings=  0 files=1
backend/scripts/run-020-migration.js          errors=    3 warnings=  0 files=1
backend/scripts/setup_production.js           errors=    3 warnings=  0 files=1
backend/scripts/test-view-syntax.js           errors=    3 warnings=  0 files=1
backend/services/circuit-breaker-monitor.js   errors=    3 warnings=  0 files=1
backend/services/laclae.js                    errors=    3 warnings=  0 files=1
backend/services/repartidor-liquidacion-service.js errors=    3 warnings=  0 files=1
backend/services/repartidor-rutero-route-optimizer.js errors=    3 warnings=  0 files=1
backend/services/whatsappBaileysService.js    errors=    3 warnings=  0 files=1
backend/__tests__/auth-claims-resolver.test.js errors=    2 warnings=  0 files=1
backend/__tests__/auth-warehouse-mode.test.js errors=    2 warnings=  0 files=1
backend/__tests__/chatbot_authorization.test.js errors=    2 warnings=  0 files=1
backend/__tests__/chatbot_invoice_tools.test.js errors=    2 warnings=  0 files=1
backend/__tests__/clients_route_contracts.test.js errors=    2 warnings=  0 files=1
backend/__tests__/delivery-evidence-service.test.js errors=    2 warnings=  0 files=1
backend/__tests__/demo-regression-hotfixes.test.js errors=    2 warnings=  0 files=1
backend/__tests__/products_route_contracts.test.js errors=    2 warnings=  0 files=1
backend/__tests__/reparto-canonical-route-integration.test.js errors=    2 warnings=  0 files=1
backend/__tests__/reparto-confirmacion-validation.test.js errors=    2 warnings=  0 files=1
backend/__tests__/reparto-receipt-db2-repository.test.js errors=    2 warnings=  0 files=1
backend/__tests__/reparto-variance-notification-resolution-failure.test.js errors=    2 warnings=  0 files=1
backend/__tests__/team-commission.service.test.js errors=    2 warnings=  0 files=1
backend/__tests__/whatsapp-cloud-service.test.js errors=    2 warnings=  0 files=1
backend/config/repartidor-liquidacion-bootstrap.js errors=    2 warnings=  0 files=1
backend/create_view_final.js                  errors=    2 warnings=  0 files=1
backend/create_view_full.js                   errors=    2 warnings=  0 files=1
