Periodo Hasta AA-Actual;C.Ofi;Oficina Venta;C.Prev;Preventa;Cod.Cliente;Nombre Comercial;Cod.Interno;Cod.Cad;Cadena;Agrupacion;Tipo Establecimiento;Fecha Alta;Ult.Comp.Helados;Cuo.Anual Helados;VtaBru.Cum Actual;VtaBru.Cum Anterior;Desviacion _;Desviacion %;VtaBru.Tot Anterior;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;401384583;CAMPING PLAYA PARAZUELOS;8433;;;Ocio;CAMPING/PISCINAS/POLIDEPORTIVO;01/05/2024;07/05/2026;2185,19;687,92;1110,29;-422,37;38,04;2136,06;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;401384588;COME Y CALLA;8578;;;Conveniencia;COMIDA PREPARADA/ASADORES DE P;01/05/2024;24/09/2025;1304,89;0,00;692,33;-692,33;100,00;1275,55;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401389309;CAMPING PALOMARES TAIGA;10022;;;Ocio;CAMPING/PISCINAS/POLIDEPORTIVO;01/07/2024;08/10/2025;6256,61;0,00;1095,33;-1095,33;100,00;6115,94;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;401393110;CASA CLUB CAMPOSOL GOLD;5702;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/10/2024;30/04/2026;6166,47;546,96;2039,67;-1492,71;73,18;6027,83;
05-2025 -> 05-2026;2866;LORCA;80;JUAN LUIS GALLEGO ;401393772;HOTEL GOLF ALMERIMAR;35065;000015244;QUANTUM ASOCIADOS;Hoteles y Hostales;HOTELES Y HOSTALES;01/10/2024;18/11/2025;3862,99;0,00;966,74;-966,74;100,00;3776,14;
05-2025 -> 05-2026;2866;LORCA;10;EDGAR WIDRIDO GRANDA;401394772;HOTEL RISCAL;4168;000015244;QUANTUM ASOCIADOS;Hoteles y Hostales;HOTELES Y HOSTALES;01/12/2024;03/10/2025;4841,80;0,00;1584,85;-1584,85;100,00;4732,94;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401399248;RESTAURANTE LAS MARINAS;9620;000019111;MANACA GOURMET;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;01/01/2025;30/04/2026;5407,88;799,01;1601,68;-802,67;50,11;5286,30;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401399427;BAR CARAMBA;9664;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/01/2025;05/11/2025;1505,25;0,00;713,27;-713,27;100,00;1471,41;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401400116;KEBAB RICO;9627;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/02/2025;27/02/2025;1031,44;0,00;995,95;-995,95;100,00;995,95;
05-2025 -> 05-2026;2866;LORCA;05;JOSE SANCHEZ;401400403;HELADERIA DOLCE FUSION;9633;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/02/2025;13/05/2026;7408,69;127,05;3547,42;-3420,37;96,42;7156,60;
