Periodo Hasta AA-Actual;C.Ofi;Oficina Venta;C.Prev;Preventa;Cod.Cliente;Nombre Comercial;Cod.Interno;Cod.Cad;Cadena;Agrupacion;Tipo Establecimiento;Fecha Alta;Ult.Comp.Helados;Cuo.Anual Helados;VtaBru.Cum Actual;VtaBru.Cum Anterior;Desviacion _;Desviacion %;VtaBru.Tot Anterior;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401180616;REST.CHINO SHANG-HAI;30179;;;Restaurantes;RESTAURANTES CHINOS;23/11/2011;29/04/2026;2120,51;394,74;893,12;-498,38;55,80;2072,83;
05-2025 -> 05-2026;2866;LORCA;72;JOSE MIGUEL  ACACIO;401180642;LA BARRANQUILLA ALMERIMAR;32758;;;Bares y Cafeter¡as;BAR Y CAFETERIA;17/03/2012;15/02/2025;1369,13;0,00;1338,35;-1338,35;100,00;1338,35;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401180654;KIOSCO ROGELIO;30204;;;Casetas NESTLE;CASETA/KIOSCO NESTLE (PROPIEDA;14/04/2012;20/10/2025;12902,63;0,00;322,80;-322,80;100,00;12612,54;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401180692;HOTEL NEPTUNO;52766;000016804;HOTELES ON GROUP;Hoteles y Hostales;HOTELES Y HOSTALES;02/01/2013;06/05/2026;38252,17;2785,83;3795,63;-1009,80;26,60;37392,15;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401180701;TIENDA PASEO LOS BA¥OS;31825;;;Conveniencia;TIENDA DE ALIMENTACION ETNICA ;11/02/2013;12/05/2026;3408,76;0,00;1050,89;-1050,89;100,00;3332,12;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401180748;MOJITO PLAYA;31875;000013274;MOJITO PLAYA;Bares y Cafeter¡as;BAR Y CAFETERIA;21/05/2013;08/04/2026;1089,39;215,50;522,98;-307,48;58,79;1064,90;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401180815;RTE.BAR ALKANZIYA;31778;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;20/03/2014;13/05/2026;2526,98;201,90;842,76;-640,86;76,04;2470,17;
05-2025 -> 05-2026;2866;LORCA;93;MARI CARMEN PREVENTA;401181260;HOTEL MARINA PLAYA;30507;B6762;SERVIHOTEL, S.L;Hoteles y Hostales;HOTELES Y HOSTALES;11/05/2016;12/05/2026;14282,47;1592,92;2783,67;-1190,75;42,78;13961,36;
05-2025 -> 05-2026;2866;LORCA;93;MARI CARMEN PREVENTA;401181261;HOTEL MARINA MAR;30508;B6762;SERVIHOTEL, S.L;Hoteles y Hostales;HOTELES Y HOSTALES;11/05/2016;16/09/2025;16261,24;0,00;345,65;-345,65;100,00;15895,64;
05-2025 -> 05-2026;2866;LORCA;72;JOSE MIGUEL  ACACIO;401196612;E.S. LA ALQUERIA 96967;30692;B6345;LOGISTA SA;Conveniencia;ESTACIONES DE SERVICIO / GASOL;01/02/2017;04/10/2025;1384,64;0,00;291,14;-291,14;100,00;1353,51;
05-2025 -> 05-2026;2866;LORCA;72;JOSE MIGUEL  ACACIO;401198136;LA TAPERIA;32745;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;01/03/2017;01/04/2025;1046,60;0,00;1023,07;-1023,07;100,00;1023,07;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;401211957;LAS PLANCHAS;8636;;;Bares y Cafeter¡as;BAR Y CAFETERIA;26/06/2017;18/04/2026;2443,13;256,04;697,18;-441,14;63,27;2388,20;
05-2025 -> 05-2026;2866;LORCA;80;JUAN LUIS GALLEGO ;401226415;HELADERIA LA INDIA CENTRO;30824;000014233;LA INDIA;Ocio;HELADERIAS/HORCHATERIAS;10/01/2018;13/05/2026;9476,48;1443,48;2952,16;-1508,68;51,10;9263,42;
05-2025 -> 05-2026;2866;LORCA;93;MARI CARMEN PREVENTA;401232746;CUEVAS DE SORBAS;30955;;;Bares y Cafeter¡as;BAR Y CAFETERIA;08/03/2018;23/04/2026;5123,51;1820,32;2664,82;-844,50;31,69;5008,32;
05-2025 -> 05-2026;2866;LORCA;03;MARTIN MANCHON;401233444;CHIRINGUITO ESTRELLA MAR;7589;;;Bares y Cafeter¡as;BAR Y CAFETERIA;15/03/2018;08/05/2026;5266,56;366,12;2143,08;-1776,96;82,92;5148,15;
05-2025 -> 05-2026;2866;LORCA;93;MARI CARMEN PREVENTA;401233750;HOTEL PUEBLO INDALO;30963;B6835;BEST HOTELES;Hoteles y Hostales;HOTELES Y HOSTALES;19/03/2018;12/05/2026;75800,11;8513,22;11229,43;-2716,21;24,19;74095,90;
05-2025 -> 05-2026;2866;LORCA;93;MARI CARMEN PREVENTA;401236320;HOTEL MOJACAR PLAYA ACUAP;30993;B6505;GRUPO HOTELES PLAYA, S.L.;Hoteles y Hostales;HOTELES Y HOSTALES;16/04/2018;17/09/2025;30658,61;0,00;644,30;-644,30;100,00;29969,32;
05-2025 -> 05-2026;2866;LORCA;93;MARI CARMEN PREVENTA;401236800;HOTEL CABO GATA BEACH;30998;B8004;VALNEST HOTELS SL;Hoteles y Hostales;HOTELES Y HOSTALES;19/04/2018;12/05/2026;15281,80;318,48;3315,84;-2997,36;90,40;14938,22;
05-2025 -> 05-2026;2866;LORCA;93;MARI CARMEN PREVENTA;401240213;HOTEL BEST MOJACAR***;39500;B6835;BEST HOTELES;Hoteles y Hostales;HOTELES Y HOSTALES;01/05/2018;25/09/2025;47769,42;0,00;6776,18;-6776,18;100,00;46695,43;
05-2025 -> 05-2026;2866;LORCA;03;MARTIN MANCHON;401245032;BAHIANA CAFE HELADERIA;9597;;;Bares y Cafeter¡as;BAR Y CAFETERIA;02/07/2018;12/05/2026;23225,68;5851,53;6842,24;-990,71;14,48;22703,50;
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401246921;SUPERMERCADO LI;31669;;;Conveniencia;TIENDA DE ALIMENTACION ETNICA ;25/07/2018;29/08/2025;1238,91;0,00;664,95;-664,95;100,00;1211,06;
05-2025 -> 05-2026;2866;LORCA;80;JUAN LUIS GALLEGO ;401250559;BAR EL BARRO;32741;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;12/11/2018;12/05/2026;5042,82;1346,89;1979,88;-632,99;31,97;4929,44;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401262371;CASA DIEGO 3¦EDAD;32015;;;Bares y Cafeter¡as;BAR Y CAFETERIA;04/03/2019;24/09/2025;1633,44;0,00;263,86;-263,86;100,00;1596,72;
05-2025 -> 05-2026;2866;LORCA;80;JUAN LUIS GALLEGO ;401263661;BAR EL TONEL;32414;000017417;BAR EL TONEL;Bares y Cafeter¡as;BAR Y CAFETERIA;18/03/2019;05/09/2025;9361,72;0,00;858,79;-858,79;100,00;9151,24;
05-2025 -> 05-2026;2866;LORCA;03;MARTIN MANCHON;401265512;CAFETERIA HELADERIA OCEAN;9105;000009250;FELIPA;Bares y Cafeter¡as;BAR Y CAFETERIA;01/04/2019;28/04/2026;3887,49;946,64;1849,19;-902,55;48,81;3800,09;
05-2025 -> 05-2026;2866;LORCA;13;JOAQUIN GARCIA;401269420;RTE. LOS BARTOLOS;537;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;01/05/2019;14/08/2025;1651,34;0,00;597,58;-597,58;100,00;1614,21;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401274849;MIAPOLO BAR;31845;;;Bares y Cafeter¡as;BAR Y CAFETERIA;24/06/2019;07/05/2026;1176,13;182,32;455,75;-273,43;60,00;1149,69;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401275376;FRUTERIA ROMERA;31847;;;Varios;VARIOS/OTROS NO CLASIFICABLES;01/07/2019;14/08/2025;1657,35;0,00;776,67;-776,67;100,00;1620,09;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401278072;BAR LA 3¦ EDAD;32740;;;Bares y Cafeter¡as;BAR Y CAFETERIA;02/09/2019;09/04/2026;3906,88;336,84;837,90;-501,06;59,80;3819,04;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;401280040;LA INESPERADA;8730;000016670;LA INESPERADA;Bares y Cafeter¡as;BAR Y CAFETERIA;25/10/2019;03/03/2026;1796,53;191,20;664,04;-472,84;71,21;1756,14;
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401284128;CAFETERIA LA TONTA MONA;31131;000015692;CAFETERIA DEL AGUILA;Bares y Cafeter¡as;BAR Y CAFETERIA;06/01/2020;07/05/2026;6994,92;2125,34;2406,87;-281,53;11,70;6837,65;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401284948;KIOSCO PAQUITA;31918;;;Impulso Tradicional;KIOSCO FIJO (NO PROPIEDAD NEST;27/01/2020;11/09/2025;16427,86;0,00;1625,54;-1625,54;100,00;16058,51;
05-2025 -> 05-2026;2866;LORCA;80;JUAN LUIS GALLEGO ;401285455;MERENDERO TIO PEPE;32433;000015725;HELADERIA CAPRICHOSA;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;03/02/2020;09/05/2026;16663,43;1423,56;2008,99;-585,43;29,14;16288,79;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;401287876;BAR FREIDURIA LA FAROLA;9162;;;Bares y Cafeter¡as;BAR Y CAFETERIA;24/02/2020;12/05/2026;5986,50;1280,93;1643,66;-362,73;22,07;5851,91;
05-2025 -> 05-2026;2866;LORCA;99;DISTRIBUIDOR LORCA "A";401288033;CONGECAR;2040;;;Varios;VARIOS/OTROS NO CLASIFICABLES;24/02/2020;17/04/2026;1840,88;767,32;1424,67;-657,35;46,14;1799,49;
05-2025 -> 05-2026;2866;LORCA;72;JOSE MIGUEL  ACACIO;401292200;BAR EL PASEO;31966;;;Bares y Cafeter¡as;BAR Y CAFETERIA;25/05/2020;23/08/2025;3049,52;0,00;1053,43;-1053,43;100,00;2980,96;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;401294267;CHIRINGUITO EL RECREO;9324;;;Ocio;CHIRINGUITOS DE PLAYA/MERENDER;15/06/2020;18/09/2025;1832,80;0,00;1322,06;-1322,06;100,00;1791,59;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;401294646;RESTAURANTE VILLAMARES;9515;000015879;LA BODEGA;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;22/06/2020;08/05/2026;7158,10;1532,63;1947,70;-415,07;21,31;6997,17;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401296438;BAR VALERO;9551;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/07/2020;17/04/2026;1271,35;708,76;979,27;-270,51;27,62;1242,77;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401307730;BAR HELADERIA MIRADOR;32096;;;Bares y Cafeter¡as;BAR Y CAFETERIA;19/03/2021;30/04/2026;29900,64;5735,85;7902,85;-2167,00;27,42;29228,39;
05-2025 -> 05-2026;2866;LORCA;72;JOSE MIGUEL  ACACIO;401307790;BAR EL TIMON;32512;000016331;RTE. CLUB NAUTICO;Bares y Cafeter¡as;BAR Y CAFETERIA;15/03/2021;09/05/2026;1719,90;237,10;550,82;-313,72;56,96;1681,23;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;401309087;RERSTAURANTE YAHO;9409;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;01/04/2021;12/05/2026;2172,36;564,00;1012,65;-448,65;44,30;2123,52;
05-2025 -> 05-2026;2866;LORCA;72;JOSE MIGUEL  ACACIO;401310970;SUMA PUENTE DEL RIO 65981;39537;B6604;TRANSGOURMET IBER FRANQ;Hogar;SUPERMERCADOS CON 2 O MAS CAJA;29/04/2021;21/08/2025;1031,37;0,00;524,45;-524,45;100,00;1008,18;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;401311009;CAFETERIA LA ERMITA;9401;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/05/2021;23/04/2026;2671,93;894,08;1443,26;-549,18;38,05;2611,86;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401311655;SIMONS CAFE PUB;9559;;;Bares y Cafeter¡as;BAR Y CAFETERIA;03/05/2021;21/08/2025;1469,19;0,00;606,69;-606,69;100,00;1436,16;
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401312302;ATEN OIL SECTOR AOPERACIO;32890;;;Conveniencia;ESTACIONES DE SERVICIO / GASOL;17/05/2021;02/05/2026;3132,32;364,54;676,15;-311,61;46,09;3061,90;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401313354;CHIRINGUITO EL CHUMBO;9596;;;Ocio;CHIRINGUITOS DE PLAYA/MERENDER;24/05/2021;28/04/2026;15294,24;1526,86;2726,44;-1199,58;44,00;14950,38;
05-2025 -> 05-2026;2866;LORCA;93;MARI CARMEN PREVENTA;401317489;CASH BOROSA ROQUETAS;39538;B7098;ALVAREZ LUCHA S.L.;Hogar;SUPERMERCADOS CON 2 O MAS CAJA;01/07/2021;08/05/2026;4159,71;817,36;1080,64;-263,28;24,36;4066,19;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401324411;CAFETERIA STUDIO 54;8298;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/12/2021;17/12/2025;1939,14;0,00;1066,45;-1066,45;100,00;1895,54;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401324479;CHIRINGUITO EL HOYO 10;40729;;;Ocio;CHIRINGUITOS DE PLAYA/MERENDER;27/12/2021;15/10/2025;1133,77;0,00;303,47;-303,47;100,00;1108,28;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401328341;HELADERIA VERA PLAYA;7824;;;Ocio;HELADERIAS/HORCHATERIAS;24/03/2022;29/04/2026;17564,91;2571,56;3436,28;-864,72;25,16;17170,00;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;401331765;KIOSCOS AREA CAMPER;8912;000016940;KIOSCO PUEBLO SALAO;Impulso Tradicional;KIOSCO FIJO (NO PROPIEDAD NEST;01/05/2022;19/08/2025;1934,91;0,00;1026,61;-1026,61;100,00;1891,41;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401332448;CAFETERIA CERO CAFE;30336;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/05/2022;20/08/2025;1935,37;0,00;510,58;-510,58;100,00;1891,86;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;401333579;CAFFE & DRINK GORBEIA;8403;000018746;GORBEIA BUSSINES;Bares y Cafeter¡as;BAR Y CAFETERIA;01/05/2022;13/05/2026;3277,49;978,85;1259,31;-280,46;22,27;3203,80;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401338632;PAK DONER KEBAB;8959;;;Bares y Cafeter¡as;HAMBURGUESERIA/KEBAB/FAST FOOD;01/07/2022;24/07/2025;1999,62;0,00;900,25;-900,25;100,00;1954,66;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401341055;KIOSCO PUERTO ROQUETAS;32468;;;Impulso Tradicional;KIOSCO FIJO (NO PROPIEDAD NEST;01/11/2022;23/08/2025;4118,50;0,00;1369,72;-1369,72;100,00;4025,90;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;401350172;SUPER SOL BOLNUEVO;8419;;;Conveniencia;TIENDA DE ALIMENTACION ETNICA ;01/03/2023;04/08/2025;2104,18;0,00;316,66;-316,66;100,00;2056,87;
05-2025 -> 05-2026;2866;LORCA;03;MARTIN MANCHON;401350325;SUPERTERREROS;3048;B6614;GRUPO UPPER SOC.COOP.IMP.H.P;Hogar;SUPERMERCADOS CON 2 O MAS CAJA;01/03/2023;26/09/2025;4251,14;0,00;1149,72;-1149,72;100,00;4155,56;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401350887;CAFETERIA DULCE LUNA;10021;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/03/2023;26/11/2025;2065,16;0,00;1276,99;-1276,99;100,00;2018,73;
05-2025 -> 05-2026;2866;LORCA;10;EDGAR WIDRIDO GRANDA;401351056;CARNICERIA FRUTERIA HALAL;8692;;;Varios;VARIOS/OTROS NO CLASIFICABLES;01/03/2023;13/05/2026;4762,64;2025,52;2921,16;-895,64;30,66;4655,56;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401351406;CLUB DE TENIS LOS ALAMOS;8494;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/03/2023;17/04/2026;3351,14;1118,20;1412,85;-294,65;20,86;3275,80;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;401351610;LAGO DEL MESON;8994;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;01/03/2023;08/08/2025;3151,53;0,00;1480,75;-1480,75;100,00;3080,67;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;401352658;SAL Y ALMAGRE;8673;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/03/2023;05/09/2025;2088,99;0,00;352,88;-352,88;100,00;2042,02;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401359151;SUPERMERCADO ARRECIFE;32616;;;Hogar;SUPERMERCADOS CON 2 O MAS CAJA;05/06/2023;28/04/2026;7390,00;1047,16;1536,28;-489,12;31,84;7223,85;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;401360818;CAFE HELADERIA VALDANI;9148;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/06/2023;23/04/2026;12484,68;453,76;3369,41;-2915,65;86,53;12203,99;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401361374;RESTAURANTE LA PITA;32401;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;01/06/2023;12/05/2026;1028,37;0,00;282,04;-282,04;100,00;1005,25;
05-2025 -> 05-2026;2866;LORCA;93;MARI CARMEN PREVENTA;401362354;ALBERGUE JUVENIL ALMERIA;39263;B8013;QUANTUM ASOCIADOS;Varios;VARIOS/OTROS NO CLASIFICABLES;01/07/2023;29/04/2026;2121,29;282,24;689,36;-407,12;59,06;2073,60;
