Periodo Hasta AA-Actual;C.Ofi;Oficina Venta;C.Prev;Preventa;Cod.Cliente;Nombre Comercial;Cod.Interno;Cod.Cad;Cadena;Agrupacion;Tipo Establecimiento;Fecha Alta;Ult.Comp.Helados;Cuo.Anual Helados;Vta.Cum Helados;Cuo.Cum Helados;Desviaci¢n _;Desviaci¢n %;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401415307;HELADERIA PINGUINO;32303;;;Ocio;HELADERIAS/HORCHATERIAS;20/10/2025;;1999;0;446;-446;-100;
05-2025 -> 05-2026;2866;LORCA;80;JUAN LUIS GALLEGO ;401415215;INTERESTELAR CENTRO OCIO ;32159;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;20/10/2025;08/05/2026;1936;54;439;-385;-88;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401414766;MESON LA PRADERA;9455;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;20/10/2025;08/05/2026;11996;152;2677;-2525;-94;
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401414671;DRY MARIN;32145;;;Varios;VARIOS/OTROS NO CLASIFICABLES;14/10/2025;30/12/2025;1111;0;236;-236;-100;
05-2025 -> 05-2026;2866;LORCA;93;MARI CARMEN PREVENTA;401414524;PATRULLERO CENTINELA (P-7;39600;B6437;UCALSA,S.A.;Varios;VARIOS/OTROS NO CLASIFICABLES;13/10/2025;14/10/2025;699;0;145;-145;-100;
05-2025 -> 05-2026;2866;LORCA;10;EDGAR WIDRIDO GRANDA;401414366;BOGATA PIZZERIA;9044;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/10/2025;;600;0;134;-134;-100;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401414364;LOS ANGELES AAVV;8442;;;Varios;VARIOS/OTROS NO CLASIFICABLES;01/10/2025;;600;0;134;-134;-100;
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401414243;BAR ZIROKS;40412;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/10/2025;15/04/2026;1025;58;226;-168;-75;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;401414191;LA BOMBA;32139;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/10/2025;;937;0;216;-216;-100;
05-2025 -> 05-2026;2866;LORCA;80;JUAN LUIS GALLEGO ;401414076;24 HORAS DULCE MENTA;32137;;;Impulso Tradicional;TIENDAS DE CHUCHERIAS/FRUTOS S;01/10/2025;13/05/2026;7188;1299;1476;-177;-12;
