Periodo Hasta AA-Actual;C.Ofi;Oficina Venta;C.Prev;Preventa;Cod.Cliente;Nombre Comercial;Cod.Interno;Cod.Cad;Cadena;Agrupacion;Tipo Establecimiento;Fecha Alta;Ult.Comp.Helados;Msg.Marketing;
05-2025 -> 05-2026;2866;LORCA;72;JOSE MIGUEL  ACACIO;401349494;RESTAURANTE MAR AZUL;32683;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;01/03/2023;24/04/2026;Cliente Momento Snacking;
05-2025 -> 05-2026;2866;LORCA;03;MARTIN MANCHON;401350318;CHIRINGUITO MAR RABIOSA;3528;000017515;CHIRINGUITO MAR  RABIOSA;Ocio;CHIRINGUITOS DE PLAYA/MERENDER;01/03/2023;08/05/2026;Cliente Momento Snacking;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;401350321;HELADERIA SAN MIGUEL;8337;000017515;CHIRINGUITO MAR  RABIOSA;Ocio;HELADERIAS/HORCHATERIAS;01/03/2023;13/05/2026;Cliente Momento Snacking;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401350698;BAR RESTAURANTE LA HOYA;30736;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/03/2023;07/05/2026;Cliente Momento Snacking;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401351257;CAFETERIA EL PUA;9622;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/03/2023;08/04/2026;Cliente Momento Snacking;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401356038;RTE. HOSTAL LA ISLETA;32572;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;01/05/2023;28/04/2026;Cliente Momento Snacking;
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401363557;CAFETERIA LOS PIRINEOS;32888;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/07/2023;07/05/2026;Cliente Momento Snacking;
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401374285;CAFE BAR LA MAYOR;32357;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/01/2024;22/04/2026;Cliente Momento Snacking;
05-2025 -> 05-2026;2866;LORCA;80;JUAN LUIS GALLEGO ;401377191;BAR EL TONEL 3;32679;000017417;BAR EL TONEL;Bares y Cafeter¡as;BAR Y CAFETERIA;01/02/2024;13/02/2026;Cliente Momento Snacking;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401377250;BAR EL SIBARITA;9463;;;Bares y Cafeter¡as;BAR Y CAFETERIA;12/02/2024;12/05/2026;Cliente Momento Snacking;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401378048;CHIRINGUITO PACO'S;30021;;;Ocio;CHIRINGUITOS DE PLAYA/MERENDER;01/03/2024;08/05/2026;Cliente Momento Snacking;
05-2025 -> 05-2026;2866;LORCA;03;MARTIN MANCHON;401379397;CHIRINGUITO HENROK;3607;000008918;CANAL NAUTICO;Ocio;CHIRINGUITOS DE PLAYA/MERENDER;01/03/2024;28/04/2026;Cliente Momento Snacking;
05-2025 -> 05-2026;2866;LORCA;03;MARTIN MANCHON;401379994;TAPERIA LAUMAR;8438;;;Bares y Cafeter¡as;BAR Y CAFETERIA;18/03/2024;30/04/2026;Cliente Momento Snacking;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401380421;CAFE HELADERIA JUDIT;32706;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/03/2024;13/05/2026;Cliente Momento Snacking;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401381433;EL CHIRINGUITO MARIA;8452;000018356;CHIRINGUITO VELEZ BLANCO/;Ocio;CHIRINGUITOS DE PLAYA/MERENDER;01/04/2024;08/05/2026;Cliente Momento Snacking;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401383700;VENTA MURCIA;9676;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;01/04/2024;28/01/2026;Cliente Momento Snacking;
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401394587;RESTAURANTE LA LONJA;30447;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;01/11/2024;12/05/2026;Cliente Momento Snacking;
