Periodo Hasta AA-Actual;C.Ofi;Oficina Venta;C.Prev;Preventa;Cod.Cliente;Nombre Comercial;CodigoInterno;Cod.Cad;Cadena;Agrupacion;Tipo Establecimiento;Fecha Alta;Ult.Comp.Helados;Ref.Cum Actual;Ref.Cum Anterior;Desviacion;Ref.Tot Anterior;Ref.SinCompra 1;Ref.SinCompra 2;Ref.SinCompra 3;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401351489;AL-JAZAMA;32536;;;Varios;VARIOS/OTROS NO CLASIFICABLES;01/03/2023;07/05/2026;20;21;-1;21;PIRULO SANDIA N4 36x73ML;PIRULO MANGO 36x70ML;NUII CRM AUSTRAL.N4 20X90;
05-2025 -> 05-2026;2866;LORCA;05;JOSE SANCHEZ;401078346;RESTAURANTE EL VALLE;3245;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;28/03/2014;06/05/2026;0;4;-4;4;PIR COOL FRESA N3 24X99ML;PIRL MIKOLAPIZ N4 20x88ML;SMARTIES PUSHUP 20x85MLN7;
05-2025 -> 05-2026;2866;LORCA;05;JOSE SANCHEZ;866016165;EL ARCO, BAR;6165;8660147;EL BERRO;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;01/01/1998;07/05/2026;35;36;-1;36;PIRULO FRUIT JOY 24X65ML;EXTR LM CHESCK 16x110ML;EXTREME NATA N2 16X110ML;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401400564;EL ARTE ALMENARA;9634;000018993;EL ARTE ALMENARA;Bares y Cafeter¡as;BAR Y CAFETERIA;01/02/2025;12/05/2026;6;36;-30;36;MDLZ BB MILKA N2 20X90ML;MAXIBON CHSCAKE 24X140ML ;MAXIBON CLASIC N5 24X140 ;
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401180260;LELIS TODO 0,60 EUROS;30606;;;Conveniencia;TIENDA DE ALIMENTACION ETNICA ;26/02/2004;07/05/2026;28;29;-1;29;PIRL COOL LIMON N3 24X99;MAXIBON CHSCAKE 24X140ML ;MAXIBON WAFFLE N2 24X140;
05-2025 -> 05-2026;2866;LORCA;93;MARI CARMEN PREVENTA;401231343;FRUTAS V;32070;;;Varios;VARIOS/OTROS NO CLASIFICABLES;19/02/2018;25/04/2026;11;13;-2;13;MDLZ MNBITCUP OREO 12x105;MDLZ BB MILKA N2 20X90ML;NUII TEXPECAN N1 20X90;
05-2025 -> 05-2026;2866;LORCA;05;JOSE SANCHEZ;401313510;RESTAURANTE RINCON DEL RE;8704;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;24/05/2021;21/04/2026;17;19;-2;19;PIRULO MANGO 36x70ML;NUII CRM AUSTRAL.N4 20X90;NUII TEXPECAN N1 20X90;
05-2025 -> 05-2026;2866;LORCA;80;JUAN LUIS GALLEGO ;401285455;MERENDERO TIO PEPE;32433;000015725;HELADERIA CAPRICHOSA;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;03/02/2020;09/05/2026;35;36;-1;36;EXTREME NATA N2 16X110ML;PIRULO FRUIT JOY 24X65ML;EXTR LM CHESCK 16x110ML;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;866015086;KIOSCO BAKERIN;8778;000017850;CAMPING SIERRA DE MARIA;Bares y Cafeter¡as;BAR Y CAFETERIA;23/05/2006;25/07/2025;0;29;-29;29;MDLZ BBTOBLERONE N1 20X90;MAXIBON CHSCAKE 24X140ML ;MAXIBON CLASIC N5 24X140 ;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401402125;KIOSCO CARMEN SEVILLA;32819;;;Impulso Tradicional;KIOSCO FIJO (NO PROPIEDAD NEST;01/03/2025;22/08/2025;0;36;-36;36;PIR COOL FRESA N3 24X99ML;EXTR FRESA NA N3 16X120ML;EXTR DOBLE CHON2 16x120ML;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;401350321;HELADERIA SAN MIGUEL;8337;000017515;CHIRINGUITO MAR  RABIOSA;Ocio;HELADERIAS/HORCHATERIAS;01/03/2023;13/05/2026;28;30;-2;30;PIRULO MANGO 36x70ML;MDLZ OREO BTOP N1 20x100;PIRL COOL LIMON N3 24X99;
05-2025 -> 05-2026;2866;LORCA;05;JOSE SANCHEZ;401293865;CASA DE LA CULTURA;8799;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/06/2020;12/05/2026;21;26;-5;26;NUII TEXPECAN N1 20X90;EXTR CRML SALADO 16x110ML;PIRULO MANGO 36x70ML;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;401001553;PANDERIA PEREZ;1575;000006866;PANAD.PASTELERIA PEREZ;Conveniencia;PASTELERIAS/PANADERIAS/FRUTERI;30/05/2012;29/04/2026;14;15;-1;15;MAXIBON CHSCAKE 24X140ML ;PIRULO MANGO 36x70ML;NUII TEXPECAN N1 20X90;
05-2025 -> 05-2026;2866;LORCA;03;MARTIN MANCHON;401269307;KIOSCO LA BAHIA;9263;;;Impulso Tradicional;KIOSCO FIJO (NO PROPIEDAD NEST;06/05/2019;08/05/2026;28;31;-3;31;MAXIBON CHSCAKE 24X140ML ;PIRULO MANGO 36x70ML;NUII CRM AUSTRAL.N4 20X90;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401389309;CAMPING PALOMARES TAIGA;10022;;;Ocio;CAMPING/PISCINAS/POLIDEPORTIVO;01/07/2024;08/10/2025;0;17;-17;17;NUII ALM.JAVA N5 20X90;MAXIBON CHSCAKE 24X140ML ;MAXIBON CLASIC N5 24X140 ;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;866015099;HOGAR 3¦ EDAD MARIA;8525;;;Bares y Cafeter¡as;BAR Y CAFETERIA;03/07/2002;29/08/2025;0;29;-29;29;EXTR VAINILLA N4 16x120ML;MDLZ MNBITCUP OREO 12x105;MDLZ BBTOBLERONE N1 20X90;
05-2025 -> 05-2026;2866;LORCA;93;MARI CARMEN PREVENTA;401180396;TABERNA EL PUENTE;30038;;;Bares y Cafeter¡as;BAR Y CAFETERIA;15/03/2007;07/05/2026;35;36;-1;36;EXTR LM CHESCK 16x110ML;EXTREME NATA N2 16X110ML;PIRULO FRUIT JOY 24X65ML;
05-2025 -> 05-2026;2866;LORCA;05;JOSE SANCHEZ;866012646;ESTACION DE SERV,VILLASOL;2646;8660149;DEGESCO, S.L.;Conveniencia;ESTACIONES DE SERVICIO / GASOL;25/03/2003;07/04/2026;17;19;-2;19;MAXIBON CHSCAKE 24X140ML ;MAXIBON WAFFLE N2 24X140;PIRULO MANGO 36x70ML;
05-2025 -> 05-2026;2866;LORCA;03;MARTIN MANCHON;866014313;MAR SERENA, KIOSCO;8348;;;Ocio;CHIRINGUITOS DE PLAYA/MERENDER;18/01/1998;12/05/2026;29;36;-7;36;MAXIBON WAFFLE N2 24X140;PIRULO MANGO 36x70ML;NUII TEXPECAN N1 20X90;
05-2025 -> 05-2026;2866;LORCA;93;MARI CARMEN PREVENTA;401232746;CUEVAS DE SORBAS;30955;;;Bares y Cafeter¡as;BAR Y CAFETERIA;08/03/2018;23/04/2026;29;36;-7;36;MAXIBON WAFFLE N2 24X140;PIRULO MANGO 36x70ML;BOKA ZAS NATA N4 24x100ML;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;866010215;ESTACION DE SERV.EUROPA;215;8660149;DEGESCO, S.L.;Conveniencia;ESTACIONES DE SERVICIO / GASOL;30/04/1999;17/04/2026;24;27;-3;27;MDLZ BBTOBLERONE N1 20X90;PIRULO MANGO 36x70ML;MAXIBON COOKIE N5 24x150;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401376685;BAR CABRERA;5877;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/02/2024;03/03/2026;0;25;-25;25;MDLZ SNDW OREO 24X110;CHOCOCLACK N2 24x90ML;MAXIBON COOKIE N5 24x150;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401180498;BAR MOLINERO;30110;;;Bares y Cafeter¡as;BAR Y CAFETERIA;18/05/2009;07/05/2026;13;17;-4;17;EXTR DOBLE CHON2 16x120ML;PIRL COOL LIMON N3 24X99;EXTR VAINILLA N4 16x120ML;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401180423;HOTEL PLAYA ZIMBALI;70061;B6505;GRUPO HOTELES PLAYA, S.L.;Hoteles y Hostales;HOTELES Y HOSTALES;07/05/2007;01/10/2025;0;24;-24;24;MAXIBON CHSCAKE 24X140ML ;MAXIBON CLASIC N5 24X140 ;MAXIBON COOKIE N5 24x150;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;866016307;RESTAURANTE DON TADEO;6307;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;28/11/2006;28/04/2026;2;5;-3;5;EXTR VAINILLA N4 16x120ML;PIR FANTASMIKOS N5 18X75;NUII ALM.JAVA N5 20X90;
05-2025 -> 05-2026;2866;LORCA;98;DIEGO CORBALAN;401394725;PADEL EL REAL;9042;;;Varios;VARIOS/OTROS NO CLASIFICABLES;25/11/2024;14/01/2026;0;7;-7;7;MAXIBON COOKIE N5 24x150;MDLZ SNDW OREO 24X110;MAXIBON WAFFLE N2 24X140;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401279855;BOCAQUETERIA FLASH;32128;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/10/2019;08/05/2026;19;21;-2;21;PIRULO MANGO 36x70ML;NUII TEXPECAN N1 20X90;CONO KIT KAT N5 16x110ML;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401180294;KIOSKO DON ANGEL@;31168;000013233;DON ANGEL-PORTOMAGNO;Casetas NESTLE;CASETA/KIOSCO NESTLE (PROPIEDA;20/06/2002;12/05/2026;35;36;-1;36;EXTREME NATA N2 16X110ML;PIRULO FRUIT JOY 24X65ML;EXTR LM CHESCK 16x110ML;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401321378;24 HORAS KOKI;32279;000018691;24 HORAS KOKI;Bares y Cafeter¡as;BAR Y CAFETERIA;01/11/2021;12/05/2026;24;26;-2;26;MAXIBON WAFFLE N2 24X140;PIRULO MANGO 36x70ML;NUII TEXPECAN N1 20X90;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401324411;CAFETERIA STUDIO 54;8298;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/12/2021;17/12/2025;0;6;-6;6;NUII ALM.JAVA N5 20X90;MAXIBON CLASIC N5 24X140 ;NUII TEXPECAN N1 20X90;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401383858;KIOSCO LA FABRIQUILLA;39107;;;Ocio;CHIRINGUITOS DE PLAYA/MERENDER;01/05/2024;22/08/2025;35;36;-1;36;EXTR LM CHESCK 16x110ML;EXTREME NATA N2 16X110ML;PIRULO FRUIT JOY 24X65ML;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;866020005;LIOS, BAR;8416;;;Ocio;CHIRINGUITOS DE PLAYA/MERENDER;01/01/1998;07/05/2026;16;17;-1;17;MAXIBON CLASIC N5 24X140 ;NUII TEXPECAN N1 20X90;;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401313354;CHIRINGUITO EL CHUMBO;9596;;;Ocio;CHIRINGUITOS DE PLAYA/MERENDER;24/05/2021;28/04/2026;25;26;-1;26;PIRULO MANGO 36x70ML;EXTR LM CHESCK 16x110ML;EXTREME NATA N2 16X110ML;
05-2025 -> 05-2026;2866;LORCA;10;EDGAR WIDRIDO GRANDA;401377020;BAR EL CALLEJON;8693;;;Bares y Cafeter¡as;BAR Y CAFETERIA;31/01/2024;13/08/2025;0;15;-15;15;MDLZ BBTOBLERONE N1 20X90;MAXIBON CHSCAKE 24X140ML ;MAXIBON CLASIC N5 24X140 ;
05-2025 -> 05-2026;2866;LORCA;93;MARI CARMEN PREVENTA;401180398;BAR BLANCO;30040;;;Bares y Cafeter¡as;BAR Y CAFETERIA;20/03/2007;16/04/2026;20;25;-5;25;NUII TEXPECAN N1 20X90;MAXIBON CLASIC N5 24X140 ;PIRULO MANGO 36x70ML;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;401401655;RESTAURANTE CARRILLO;7123;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;01/03/2025;07/05/2026;0;23;-23;23;MDLZ SNDW OREO 24X110;MDLZ BB MILKA N2 20X90ML;MDLZ BBTOBLERONE N1 20X90;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;401352229;BAR OKEY;8212;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/03/2023;30/04/2026;14;15;-1;15;MAXIBON CHSCAKE 24X140ML ;MAXIBON COOKIE N5 24x150;MAXIBON WAFFLE N2 24X140;
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401181314;TIENDA NUEVA ERA 24 H;30550;;;Conveniencia;TIENDA DE ALIMENTACION ETNICA ;12/07/2016;25/04/2026;35;36;-1;36;PIRULO FRUIT JOY 24X65ML;EXTR LM CHESCK 16x110ML;EXTREME NATA N2 16X110ML;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;401386548;ROUTE 66;9096;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/06/2024;14/03/2026;20;24;-4;24;MAXIBON CLASIC N5 24X140 ;MAXIBON COOKIE N5 24x150;MAXIBON WAFFLE N2 24X140;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;401351610;LAGO DEL MESON;8994;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;01/03/2023;08/08/2025;0;32;-32;32;MDLZ SNDW OREO 24X110;MDLZ OREO BTOP N1 20x100;PIR FANTASMIKOS N5 18X75;
05-2025 -> 05-2026;2866;LORCA;80;JUAN LUIS GALLEGO ;401403410;PKO 24 HORAS INFIERNO;32762;000015235;PKO 24 HORAS;Conveniencia;PASTELERIAS/PANADERIAS/FRUTERI;01/04/2025;21/04/2026;5;19;-14;19;MAXIBON CHSCAKE 24X140ML ;MAXIBON CLASIC N5 24X140 ;PIRULO SANDIA N4 36x73ML;
05-2025 -> 05-2026;2866;LORCA;93;MARI CARMEN PREVENTA;401236803;HOTEL CABOGATA JARDIN;30999;B8004;VALNEST HOTELS SL;Hoteles y Hostales;HOTELES Y HOSTALES;19/04/2018;12/05/2026;0;12;-12;12;MDLZ BB MILKA N2 20X90ML;MDLZ BBTOBLERONE N1 20X90;MAXIBON COOKIE N5 24x150;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;401328544;LA COSA MAS DULCE;8506;;;Impulso Tradicional;TIENDAS DE CHUCHERIAS/FRUTOS S;01/03/2022;12/08/2025;0;19;-19;19;MDLZ BB MILKA N2 20X90ML;MAXIBON CLASIC N5 24X140 ;MDLZ SNDW OREO 24X110;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401399248;RESTAURANTE LAS MARINAS;9620;000019111;MANACA GOURMET;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;01/01/2025;30/04/2026;17;29;-12;29;NUII TEXPECAN N1 20X90;MAXIBON CHSCAKE 24X140ML ;MDLZ SNDW OREO 24X110;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401341567;EMBUTIDOS PEDRO Y CATI;8058;;;Varios;VARIOS/OTROS NO CLASIFICABLES;01/11/2022;07/05/2026;2;4;-2;4;MDLZ SNDW OREO 24X110;MAXIBON WAFFLE N2 24X140;;
05-2025 -> 05-2026;2866;LORCA;80;JUAN LUIS GALLEGO ;401288252;E.S.REPSOL BOCA RIO 13345;39529;;;Conveniencia;ESTACIONES DE SERVICIO / GASOL;02/03/2020;28/04/2026;20;22;-2;22;EXTREME NATA N2 16X110ML;MAXIBON WAFFLE N2 24X140;PIRULO SANDIA N4 36x73ML;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;401166939;E.S. EL ARTINERO;7723;;;Conveniencia;ESTACIONES DE SERVICIO / GASOL;27/04/2016;15/04/2026;22;24;-2;24;EXTR VAINILLA N4 16x120ML;MAXIBON CHSCAKE 24X140ML ;MAXIBON WAFFLE N2 24X140;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;401350172;SUPER SOL BOLNUEVO;8419;;;Conveniencia;TIENDA DE ALIMENTACION ETNICA ;01/03/2023;04/08/2025;0;35;-35;35;MDLZ BB MILKA N2 20X90ML;MDLZ BBTOBLERONE N1 20X90;MAXIBON CHSCAKE 24X140ML ;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;401274874;BAR GALERA;9586;;;Bares y Cafeter¡as;BAR Y CAFETERIA;24/06/2019;14/04/2026;35;36;-1;36;PIRULO FRUIT JOY 24X65ML;EXTR LM CHESCK 16x110ML;EXTREME NATA N2 16X110ML;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401349260;DESPENSA DE ANA;32510;;;Conveniencia;TIENDA DE ALIMENTACION ETNICA ;01/03/2023;18/03/2026;18;19;-1;19;MAXIBON CHSCAKE 24X140ML ;PIRULO MANGO 36x70ML;NUII TEXPECAN N1 20X90;
05-2025 -> 05-2026;2866;LORCA;03;MARTIN MANCHON;401350325;SUPERTERREROS;3048;B6614;GRUPO UPPER SOC.COOP.IMP.H.P;Hogar;SUPERMERCADOS CON 2 O MAS CAJA;01/03/2023;26/09/2025;0;20;-20;20;MDLZ SNDW OREO 24X110;MAXIBON CHSCAKE 24X140ML ;MAXIBON CLASIC N5 24X140 ;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401405515;CENTRO SOCIAL COY;10002;;;Varios;VARIOS/OTROS NO CLASIFICABLES;01/04/2025;12/05/2026;2;8;-6;8;NUII ALM.JAVA N5 20X90;SMARTIES PUSHUP 20x85MLN7;EXTR FRESA NA N3 16X120ML;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;401352193;HELADERIA PATAPALO;8236;;;Ocio;HELADERIAS/HORCHATERIAS;01/03/2023;12/05/2026;35;36;-1;36;PIRULO FRUIT JOY 24X65ML;EXTR LM CHESCK 16x110ML;EXTREME NATA N2 16X110ML;
05-2025 -> 05-2026;2866;LORCA;80;JUAN LUIS GALLEGO ;401403037;SUPERMERCADO ZAPILLO;32826;000019249;SUPER TOYO/ZAPILLO;Hogar;SUPERMERCADOS CON 2 O MAS CAJA;01/03/2025;08/05/2026;19;31;-12;31;MDLZ SNDW OREO 24X110;MDLZ OREO BTOP N1 20x100;MAXIBON CLASIC N5 24X140 ;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;401403489;PANADERIA LA VIA;5755;;;Conveniencia;PASTELERIAS/PANADERIAS/FRUTERI;01/04/2025;23/06/2025;0;12;-12;12;MAXIBON CHSCAKE 24X140ML ;PIRULO SANDIA N4 36x73ML;PIRULO MANGO 36x70ML;
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401363557;CAFETERIA LOS PIRINEOS;32888;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/07/2023;07/05/2026;0;7;-7;7;MAXIBON CHSCAKE 24X140ML ;MAXIBON COOKIE N5 24x150;PIRULO MANGO 36x70ML;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401408009;FENIX;9689;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/05/2025;11/06/2025;0;4;-4;4;BOKA ZAS NATA N4 24x100ML;PIRL COOL LIMON N3 24X99;PIR COOL FRESA N3 24X99ML;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;401311009;CAFETERIA LA ERMITA;9401;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/05/2021;23/04/2026;22;36;-14;36;MDLZ BB MILKA N2 20X90ML;MDLZ BBTOBLERONE N1 20X90;MAXIBON COOKIE N5 24x150;
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401180477;LOCUTORIO NUEVO MERCADO;31977;000013231;NUEVO LOCUTORIO;Conveniencia;PASTELERIAS/PANADERIAS/FRUTERI;24/02/2009;30/05/2025;0;14;-14;14;MAXIBON CHSCAKE 24X140ML ;MAXIBON CLASIC N5 24X140 ;MAXIBON COOKIE N5 24x150;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401338632;PAK DONER KEBAB;8959;;;Bares y Cafeter¡as;HAMBURGUESERIA/KEBAB/FAST FOOD;01/07/2022;24/07/2025;0;24;-24;24;MDLZ BBTOBLERONE N1 20X90;MAXIBON CHSCAKE 24X140ML ;MAXIBON CLASIC N5 24X140 ;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;401211957;LAS PLANCHAS;8636;;;Bares y Cafeter¡as;BAR Y CAFETERIA;26/06/2017;18/04/2026;6;17;-11;17;MDLZ SNDW OREO 24X110;NUII ALM.JAVA N5 20X90;MDLZ MNBITCUP OREO 12x105;
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401405735;CAFE BAR LA BRISA;32846;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/04/2025;30/04/2025;0;18;-18;18;MAXIBON CHSCAKE 24X140ML ;MAXIBON CLASIC N5 24X140 ;MDLZ SNDW OREO 24X110;
05-2025 -> 05-2026;2866;LORCA;72;JOSE MIGUEL  ACACIO;401180255;CAPILLERO RESTAURANTE@;30853;000013221;CAPILLERO;Bares y Cafeter¡as;HAMBURGUESERIA/KEBAB/FAST FOOD;02/02/2004;08/05/2026;5;6;-1;6;EXTR VAINILLA N4 16x120ML;;;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401405279;LA TIENDA DE CAMPER;32845;;;Conveniencia;TIENDA DE ALIMENTACION ETNICA ;01/04/2025;06/08/2025;0;10;-10;10;MAXIBON CHSCAKE 24X140ML ;NUII TEXPECAN N1 20X90;MDLZ OREO BTOP N1 20x100;
05-2025 -> 05-2026;2866;LORCA;72;JOSE MIGUEL  ACACIO;401180443;CAFE BAR LOYMAR;30075;000013224;BONSAI-LOYMAR;Bares y Cafeter¡as;BAR Y CAFETERIA;17/01/2008;30/04/2026;6;9;-3;9;MDLZ BB MILKA N2 20X90ML;EXTREME NATA N2 16X110ML;CHOCOCLACK N2 24x90ML;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401404553;CENTRO MAYORES LA GLORIA;32840;;;Varios;VARIOS/OTROS NO CLASIFICABLES;01/04/2025;24/05/2025;0;18;-18;18;EXTR LM CHESCK 16x110ML;MDLZ MNBITCUP OREO 12x105;MAXIBON CHSCAKE 24X140ML ;
05-2025 -> 05-2026;2866;LORCA;05;JOSE SANCHEZ;866015992;E.S. EL PARETON 6430;5992;;;Conveniencia;ESTACIONES DE SERVICIO / GASOL;04/03/2002;29/04/2026;17;18;-1;18;MAXIBON WAFFLE N2 24X140;EXTREME NATA N2 16X110ML;MDLZ SNDW OREO 24X110;
05-2025 -> 05-2026;2866;LORCA;05;JOSE SANCHEZ;401403343;SUPERMERCADO CHARTER;8936;;;Hogar;SUPERMERCADOS CON 2 O MAS CAJA;01/04/2025;08/08/2025;0;8;-8;8;MDLZ BBTOBLERONE N1 20X90;MAXIBON COOKIE N5 24x150;MDLZ SNDW OREO 24X110;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401401702;BAR CAFETERIA LUIS;8119;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/03/2025;16/05/2025;0;7;-7;7;MDLZ SNDW OREO 24X110;PIRULO FRUIT JOY 24X65ML;EXTR FRESA NA N3 16X120ML;
05-2025 -> 05-2026;2866;LORCA;72;JOSE MIGUEL  ACACIO;401348758;PUB TUDELA;32506;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/02/2023;03/04/2025;0;19;-19;19;MAXIBON CHSCAKE 24X140ML ;MAXIBON CLASIC N5 24X140 ;MDLZ SNDW OREO 24X110;
05-2025 -> 05-2026;2866;LORCA;05;JOSE SANCHEZ;400936278;AUTOSERVICIO ALIMENTACION;9171;000010108;AUTOSERVICIO TOTANA;Conveniencia;TIENDA DE ALIMENTACION ETNICA ;01/07/2010;12/05/2026;21;25;-4;25;MAXIBON CHSCAKE 24X140ML ;EXTREME NATA N2 16X110ML;MAXIBON WAFFLE N2 24X140;
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401294431;BAR RODRIGUEZ;32052;;;Bares y Cafeter¡as;BAR Y CAFETERIA;15/06/2020;24/04/2026;17;21;-4;21;MDLZ BBTOBLERONE N1 20X90;MAXIBON CHSCAKE 24X140ML ;PIRULO MANGO 36x70ML;
05-2025 -> 05-2026;2866;LORCA;82;LUIS PARDO;401374718;SUPREMO;32665;;;Hogar;SUPERMERCADOS CON 2 O MAS CAJA;22/01/2024;29/04/2026;17;22;-5;22;CONO KIT KAT N5 16x110ML;BOKA ZAS NATA N4 24x100ML;EXTR FRESA NA N3 16X120ML;
05-2025 -> 05-2026;2866;LORCA;93;MARI CARMEN PREVENTA;401181261;HOTEL MARINA MAR;30508;B6762;SERVIHOTEL, S.L;Hoteles y Hostales;HOTELES Y HOSTALES;11/05/2016;16/09/2025;0;17;-17;17;MDLZ BB MILKA N2 20X90ML;MDLZ BBTOBLERONE N1 20X90;MAXIBON CLASIC N5 24X140 ;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401239109;ESTANCO-1352 DTM;31023;;;Varios;VARIOS/OTROS NO CLASIFICABLES;09/05/2018;07/05/2026;25;27;-2;27;MAXIBON WAFFLE N2 24X140;PIRULO MANGO 36x70ML;NUII TEXPECAN N1 20X90;
05-2025 -> 05-2026;2866;LORCA;03;MARTIN MANCHON;866015670;ESTACION DE SERVICIO GOS;5670;8660149;DEGESCO, S.L.;Conveniencia;ESTACIONES DE SERVICIO / GASOL;22/03/2005;20/03/2026;35;36;-1;36;PIRULO FRUIT JOY 24X65ML;EXTR LM CHESCK 16x110ML;EXTREME NATA N2 16X110ML;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401180273;KIOSKO CAMY VILLA AFRICA;30616;;;Casetas NESTLE;CASETA/KIOSCO NESTLE (PROPIEDA;25/07/1998;09/05/2026;35;36;-1;36;EXTR LM CHESCK 16x110ML;EXTREME NATA N2 16X110ML;PIRULO FRUIT JOY 24X65ML;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401380608;BAR CHAPIRELA;8441;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/04/2024;09/05/2026;2;26;-24;26;MDLZ BBTOBLERONE N1 20X90;MAXIBON CHSCAKE 24X140ML ;MAXIBON CLASIC N5 24X140 ;
05-2025 -> 05-2026;2866;LORCA;10;EDGAR WIDRIDO GRANDA;401405233;DONER KEBAB;18958;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/04/2025;13/05/2026;18;36;-18;36;MDLZ BBTOBLERONE N1 20X90;MAXIBON CLASIC N5 24X140 ;MAXIBON COOKIE N5 24x150;
05-2025 -> 05-2026;2866;LORCA;72;JOSE MIGUEL  ACACIO;401407056;CENTRO 3¦ EDAD VICAR;32852;;;Varios;VARIOS/OTROS NO CLASIFICABLES;01/05/2025;20/05/2025;0;12;-12;12;PIRULO SANDIA N4 36x73ML;MAXIBON CLASIC N5 24X140 ;MDLZ SNDW OREO 24X110;
