Periodo Hasta AA-Actual;C.Ofi;Oficina Venta;C.Prev;Preventa;Cod.Cliente;Nombre Comercial;CodigoInterno;Cod.Cad;Cadena;Agrupacion;Tipo Establecimiento;Fecha Alta;Ult.Comp.Helados;Ref.Cum Actual;Ref.Cum Anterior;Desviacion;Ref.Tot Anterior;Ref.SinCompra 1;Ref.SinCompra 2;Ref.SinCompra 3;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401326046;CHIRINGUITO CERVE KORAL;40119;;;Ocio;CHIRINGUITOS DE PLAYA/MERENDER;01/02/2022;06/05/2026;19;26;-7;26;PIRULO SANDIA N4 36x73ML;NUII CRM AUSTRAL.N4 20X90;PIRL MIKOLAPIZ N4 20x88ML;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401274849;MIAPOLO BAR;31845;;;Bares y Cafeter¡as;BAR Y CAFETERIA;24/06/2019;07/05/2026;5;11;-6;11;MDLZ OREO BTOP N1 20x100;MAXIBON CHSCAKE 24X140ML ;MAXIBON COOKIE N5 24x150;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;401403070;RESTAURANTE RUBIO;32827;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;01/04/2025;09/05/2026;17;21;-4;21;MAXIBON COOKIE N5 24x150;NUII TEXPECAN N1 20X90;CONO KIT KAT N5 16x110ML;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401180400;TIENDA DE LAS CHUCHES;30041;000013225;LAS CHUCHES;Impulso Tradicional;TIENDAS DE CHUCHERIAS/FRUTOS S;21/03/2007;12/05/2026;35;36;-1;36;EXTR LM CHESCK 16x110ML;EXTREME NATA N2 16X110ML;PIRULO FRUIT JOY 24X65ML;
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401246921;SUPERMERCADO LI;31669;;;Conveniencia;TIENDA DE ALIMENTACION ETNICA ;25/07/2018;29/08/2025;0;18;-18;18;MAXIBON CHSCAKE 24X140ML ;MAXIBON CLASIC N5 24X140 ;MAXIBON COOKIE N5 24x150;
05-2025 -> 05-2026;2866;LORCA;03;MARTIN MANCHON;401407339;ZIZOU PASTEL;9191;;;Conveniencia;PASTELERIAS/PANADERIAS/FRUTERI;01/05/2025;13/05/2026;10;21;-11;21;MDLZ BBTOBLERONE N1 20X90;MAXIBON CHSCAKE 24X140ML ;MAXIBON CLASIC N5 24X140 ;
05-2025 -> 05-2026;2866;LORCA;10;EDGAR WIDRIDO GRANDA;401407498;BAZAR ZAAIM;10017;;;Conveniencia;BAZARES/SUVENIRES/TODO A 1_;01/05/2025;25/07/2025;0;21;-21;21;MDLZ BB MILKA N2 20X90ML;MAXIBON CHSCAKE 24X140ML ;MAXIBON COOKIE N5 24x150;
05-2025 -> 05-2026;2866;LORCA;03;MARTIN MANCHON;400918477;CASA PEPE;7122;000011776;BAR CASA PEPE;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;02/04/2010;22/04/2026;17;20;-3;20;MAXIBON CHSCAKE 24X140ML ;MDLZ SNDW OREO 24X110;CONO KIT KAT N5 16x110ML;
05-2025 -> 05-2026;2866;LORCA;72;JOSE MIGUEL  ACACIO;401292200;BAR EL PASEO;31966;;;Bares y Cafeter¡as;BAR Y CAFETERIA;25/05/2020;23/08/2025;0;26;-26;26;MAXIBON CLASIC N5 24X140 ;MDLZ SNDW OREO 24X110;PIRULO SANDIA N4 36x73ML;
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401374285;CAFE BAR LA MAYOR;32357;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/01/2024;22/04/2026;35;37;-2;37;EXTREME NATA N2 16X110ML;EXTR LM CHESCK 16x110ML;PIRULO FRUIT JOY 24X65ML;
