Semana-A¤o;C.Ofi;Oficina Venta;Cod.Cliente Winter;Nombre Comercial;CodigoInterno;Canal;Cuota Anual;Cuota Mes;Venta Mes;Dif. Mes;Cuota Cum;Venta Cum;Dif. Cum;
19-2026;2866;LORCA;401420494;THE CHEESECAKE EMPORIUM;10039;HELADO;2000,00;51,60;0,00;51,60;370,20;0,00;370,20;
19-2026;2866;LORCA;401401059;DONER KEBAD PUENTE ALBERC;9842;HELADO;1770,29;19,52;0,00;19,52;959,80;0,00;959,80;
19-2026;2866;LORCA;401421472;SUPER TEO;35075;HELADO;4000,00;103,20;0,00;103,20;740,40;0,00;740,40;
19-2026;2866;LORCA;401075285;BAR MORABU;8625;HELADO;3648,74;87,13;0,00;87,13;813,78;1123,18;-309,40;
19-2026;2866;LORCA;401310970;SUMA PUENTE DEL RIO 65981;39537;HELADO;1031,37;12,74;0,00;12,74;523,77;0,00;523,77;
19-2026;2866;LORCA;401426280;CAFE ODREAMS;32915;HELADO;2000,00;51,60;0,00;51,60;222,40;528,55;-306,15;
19-2026;2866;LORCA;401425544;SPAR 59;39571;HELADO;1000,00;25,80;0,00;25,80;111,20;964,48;-853,28;
19-2026;2866;LORCA;401393442;SUPER ZURGENA;5986;HELADO;621,95;41,48;0,00;41,48;326,80;0,00;326,80;
19-2026;2866;LORCA;401180443;CAFE BAR LOYMAR;30075;HELADO;2597,08;58,79;0,00;58,79;939,07;784,90;154,17;
19-2026;2866;LORCA;866015086;KIOSCO BAKERIN;8778;HELADO;1555,30;0,00;0,00;0,00;1086,74;0,00;1086,74;
19-2026;2866;LORCA;401383716;DON MARKET;8591;HELADO;1283,35;119,59;0,00;119,59;0,00;0,00;0,00;
19-2026;2866;LORCA;400950485;BAR ANA;7991;HELADO;1301,46;0,00;0,00;0,00;877,56;0,00;877,56;
19-2026;2866;LORCA;401408091;CAFE TIME;35030;HELADO;1000,48;27,02;0,00;27,02;206,61;0,00;206,61;
19-2026;2866;LORCA;401180691;EST. S.EL PITA 969991U;30220;HELADO;6379,15;281,94;0,00;281,94;925,54;2048,72;-1123,18;
19-2026;2866;LORCA;400806432;PENSION RTE.VENTA TEBAR;8204;HELADO;1608,77;50,46;0,00;50,46;284,05;150,68;133,37;
19-2026;2866;LORCA;400921587;CAFE BAR SIERRA ESPU¥A;1193;HELADO;3373,79;57,23;0,00;57,23;1083,47;1015,04;68,43;
19-2026;2866;LORCA;401355864;L0L171 COLEGIO ALTADUNA;39829;HELADO;1579,18;226,27;0,00;226,27;0,00;0,00;0,00;
19-2026;2866;LORCA;401221081;PIZZERIA POMODORO;30872;HELADO;530,57;41,35;0,00;41,35;358,30;0,00;358,30;
19-2026;2866;LORCA;401284948;KIOSCO PAQUITA;31918;HELADO;16427,86;147,41;0,00;147,41;1515,52;0,00;1515,52;
19-2026;2866;LORCA;401240213;HOTEL BEST MOJACAR***;39500;HELADO;47769,42;1358,75;0,00;1358,75;5573,28;0,00;5573,28;
19-2026;2866;LORCA;401407052;MESON ANTONIA;9992;HELADO;623,04;18,35;0,00;18,35;140,31;25,60;114,71;
19-2026;2866;LORCA;401025018;ALIMENTACION EUROPA;7977;HELADO;2695,22;84,49;0,00;84,49;1031,95;743,28;288,67;
19-2026;2866;LORCA;401180225;BAR ANTONIO;32507;HELADO;1577,57;36,81;0,00;36,81;161,02;0,00;161,02;
19-2026;2866;LORCA;401311009;CAFETERIA LA ERMITA;9401;HELADO;2671,93;7,97;0,00;7,97;1468,49;894,08;574,41;
19-2026;2866;LORCA;401407650;COMESTIBLES PALENZUELA;32855;HELADO;862,72;134,46;0,00;134,46;174,68;738,60;-563,92;
19-2026;2866;LORCA;401408494;CORA CAFE;10020;HELADO;860,78;23,05;0,00;23,05;176,26;363,98;-187,72;
19-2026;2866;LORCA;401120565;HIPER A7;7363;HELADO;3183,82;86,19;0,00;86,19;1158,03;1368,52;-210,49;
19-2026;2866;LORCA;401237545;PANADERIA DEL SUR;32521;HELADO;1245,50;29,25;0,00;29,25;696,86;1071,80;-374,94;
19-2026;2866;LORCA;401410571;DULCE SUE¥OS;9375;HELADO;2795,14;60,54;0,00;60,54;458,16;0,00;458,16;
19-2026;2866;LORCA;401405515;CENTRO SOCIAL COY;10002;HELADO;1508,77;59,24;0,00;59,24;283,69;58,92;224,77;
19-2026;2866;LORCA;866016010;REST.MEDITERRANEO;7521;HELADO;1216,35;13,01;0,00;13,01;587,41;289,32;298,09;
19-2026;2866;LORCA;401418811;BAR TOTI;10302;HELADO;899,73;23,22;0,00;23,22;177,55;22,56;154,99;
19-2026;2866;LORCA;401366434;FAMILY PARK;8369;HELADO;726,66;65,99;0,00;65,99;266,73;0,00;266,73;
19-2026;2866;LORCA;401408389;CHIRINGUITO SAUFER;32862;HELADO;3560,70;88,49;0,00;88,49;676,73;0,00;676,73;
19-2026;2866;LORCA;401383854;ASADOR GUMPOLLOS;32558;HELADO;468,02;82,88;0,00;82,88;0,00;0,00;0,00;
19-2026;2866;LORCA;401384588;COME Y CALLA;8578;HELADO;1304,89;25,17;0,00;25,17;683,09;0,00;683,09;
19-2026;2866;LORCA;401427065;CHILLI TACO;10448;HELADO;1000,00;25,80;0,00;25,80;111,20;41,28;69,92;
19-2026;2866;LORCA;401180641;CAFE BAR LA ERMITA;31985;HELADO;581,68;116,28;0,00;116,28;0,00;0,00;0,00;
19-2026;2866;LORCA;401269890;E.S.REDOIL LA MORENA;8245;HELADO;4974,82;330,24;0,00;330,24;1376,01;1564,48;-188,47;
19-2026;2866;LORCA;401424005;CARNICERIA H.OVERA;8989;HELADO;1000,00;25,80;0,00;25,80;147,40;709,88;-562,48;
19-2026;2866;LORCA;401361024;LA PARADA DE SIERRA ESPU¥;9154;HELADO;3067,92;191,51;0,00;191,51;0,00;0,00;0,00;
19-2026;2866;LORCA;401181101;CAFETERIA LA BOHEMIA;30401;HELADO;1776,20;61,81;0,00;61,81;296,45;452,30;-155,85;
19-2026;2866;LORCA;401409042;CONFITERIA OLIMKA;32007;HELADO;438,85;11,69;0,00;11,69;89,41;0,00;89,41;
19-2026;2866;LORCA;401366715;PAK SUPERMERCADOS;8356;HELADO;2424,44;106,38;0,00;106,38;1048,87;1029,16;19,71;
19-2026;2866;LORCA;401407274;CAFETERIA LA ABADIA;9535;HELADO;3156,53;155,44;0,00;155,44;594,15;0,00;594,15;
19-2026;2866;LORCA;401294267;CHIRINGUITO EL RECREO;9324;HELADO;1832,80;25,54;0,00;25,54;1326,92;0,00;1326,92;
19-2026;2866;LORCA;866016304;BAR 4 VIENTOS;6304;HELADO;3745,15;110,65;0,00;110,65;1717,57;1486,96;230,61;
19-2026;2866;LORCA;401332494;ESTANCO LOS ANGELES;32441;HELADO;810,08;69,63;0,00;69,63;0,00;934,52;-934,52;
19-2026;2866;LORCA;401272610;APARCAMIENTO DE PULPI;8406;HELADO;3124,67;154,49;0,00;154,49;1229,62;1245,44;-15,82;
19-2026;2866;LORCA;401423182;ALEGRIA ANDARAX;39562;HELADO;10000,00;258,00;0,00;258,00;1474,00;0,00;1474,00;
19-2026;2866;LORCA;401362354;ALBERGUE JUVENIL ALMERIA;39263;HELADO;2121,29;45,25;0,00;45,25;659,96;282,24;377,72;
19-2026;2866;LORCA;401426048;LA HUERTA DE MARUJA;40622;HELADO;1000,00;25,80;0,00;25,80;111,20;71,52;39,68;
19-2026;2866;LORCA;401203791;SUPERMERCADO ALAMO;1116;HELADO;1546,00;59,67;0,00;59,67;688,59;745,08;-56,49;
19-2026;2866;LORCA;400821451;KIOSCO LUPE;4096;HELADO;10592,79;321,93;0,00;321,93;3639,57;3417,36;222,21;
19-2026;2866;LORCA;401420696;RESTAURANTE VENTARIQUE;7605;HELADO;6000,00;154,80;0,00;154,80;1110,60;264,84;845,76;
19-2026;2866;LORCA;401404662;PRISION VST (IES MARITIMO;30919;HELADO;3437,72;0,00;0,00;0,00;1104,30;0,00;1104,30;
19-2026;2866;LORCA;401331901;LA BODEGA;8945;HELADO;656,05;0,00;0,00;0,00;656,05;0,00;656,05;
19-2026;2866;LORCA;401405425;CENTRO 3¦ EDAD PADULES;35073;HELADO;544,42;93,78;0,00;93,78;153,68;0,00;153,68;
19-2026;2866;LORCA;401374718;SUPREMO;32665;HELADO;3493,32;80,42;0,00;80,42;702,61;899,80;-197,19;
19-2026;2866;LORCA;401421926;CINES DE VERANO AGUADULCE;35070;HELADO;4000,00;103,20;0,00;103,20;589,60;0,00;589,60;
19-2026;2866;LORCA;401391407;ALIMENTACION REQUENA;32904;HELADO;1003,56;88,92;0,00;88,92;0,00;314,96;-314,96;
19-2026;2866;LORCA;401206241;PAN Y ALIMENTACION DIEGO;8013;HELADO;763,75;106,13;0,00;106,13;0,00;0,00;0,00;
19-2026;2866;LORCA;401426861;RTE.VENTA EL COMPADRE;32914;HELADO;2500,00;64,50;0,00;64,50;278,00;0,00;278,00;
19-2026;2866;LORCA;401351056;CARNICERIA FRUTERIA HALAL;8692;HELADO;4762,64;236,32;0,00;236,32;2752,01;2025,52;726,49;
19-2026;2866;LORCA;401407056;CENTRO 3¦ EDAD VICAR;32852;HELADO;603,71;116,33;0,00;116,33;118,99;0,00;118,99;
19-2026;2866;LORCA;401376566;HIPER NUEVO ORIENTE;5649;HELADO;677,05;17,60;0,00;17,60;215,40;726,72;-511,32;
19-2026;2866;LORCA;401420354;MANBICHE;32894;HELADO;3000,00;77,40;0,00;77,40;555,30;791,34;-236,04;
19-2026;2866;LORCA;866010656;COSTA COSTA HOTEL;7973;HELADO;2620,61;57,62;0,00;57,62;888,04;493,15;394,89;
19-2026;2866;LORCA;401411785;CAFE BAR LAS PALMERAS;10036;HELADO;2238,02;47,56;0,00;47,56;363,74;20,64;343,10;
19-2026;2866;LORCA;401425513;EL BARRIO;10428;HELADO;1000,00;25,80;0,00;25,80;111,20;22,22;88,98;
19-2026;2866;LORCA;866015013;ESTACION SERV.GUADALENTIN;10416;HELADO;2162,53;0,00;0,00;0,00;797,45;0,00;797,45;
19-2026;2866;LORCA;401410700;CAFETERIA DREAM BOWLING;32874;HELADO;1041,53;26,62;0,00;26,62;203,59;0,00;203,59;
19-2026;2866;LORCA;401414366;BOGATA PIZZERIA;9044;HELADO;599,82;15,48;0,00;15,48;118,37;0,00;118,37;
19-2026;2866;LORCA;401256010;CONFITERIA CANELA;8815;HELADO;1725,78;17,57;0,00;17,57;1492,61;1658,28;-165,67;
19-2026;2866;LORCA;401403767;FABRICA DE LOS GENOVESES;32836;HELADO;2104,56;49,33;0,00;49,33;377,25;0,00;377,25;
19-2026;2866;LORCA;401406921;LA DOI PASI;10015;HELADO;858,64;139,08;0,00;139,08;174,01;673,68;-499,67;
19-2026;2866;LORCA;401360818;CAFE HELADERIA VALDANI;9148;HELADO;12484,68;809,26;0,00;809,26;2637,65;453,76;2183,89;
19-2026;2866;LORCA;401389874;CAMPING TOTANA PARK&RTE. ;9180;HELADO;1122,89;6,45;0,00;6,45;398,48;741,12;-342,64;
19-2026;2866;LORCA;401420228;PANADERIA LOPEZ;1539;HELADO;1000,00;25,80;0,00;25,80;185,10;0,00;185,10;
19-2026;2866;LORCA;401265461;ALIMENTACION Y MULTIPRECI;9214;HELADO;1707,78;50,41;0,00;50,41;883,66;803,68;79,98;
19-2026;2866;LORCA;401419556;CAFETERIA CONQUISTA;32328;HELADO;1000,00;25,80;0,00;25,80;197,30;3,40;193,90;
19-2026;2866;LORCA;401422751;BAR RESTAURANTE LA MAREA;32853;HELADO;7000,00;180,60;0,00;180,60;1031,80;0,00;1031,80;
19-2026;2866;LORCA;401393772;HOTEL GOLF ALMERIMAR;35065;HELADO;3862,99;60,69;0,00;60,69;928,29;0,00;928,29;
19-2026;2866;LORCA;401295964;EL VARADERO;8737;HELADO;1230,73;20,82;0,00;20,82;341,43;329,94;11,49;
19-2026;2866;LORCA;401246921;SUPERMERCADO LI;31669;HELADO;1238,91;0,00;0,00;0,00;680,24;0,00;680,24;
19-2026;2866;LORCA;401426033;CARNICERIA RITAJE;6179;HELADO;1000,00;25,80;0,00;25,80;111,20;868,96;-757,76;
19-2026;2866;LORCA;401288743;BEACH CLUB BOCAINA;31940;HELADO;13619,37;166,94;0,00;166,94;3751,94;3623,22;128,72;
19-2026;2866;LORCA;401394772;HOTEL RISCAL;4168;HELADO;4841,80;319,24;0,00;319,24;1302,05;0,00;1302,05;
19-2026;2866;LORCA;401214272;KIOSKO VERONICA;35027;HELADO;1963,34;240,43;0,00;240,43;0,00;1486,96;-1486,96;
19-2026;2866;LORCA;401366820;RTE. CLUB NATACION;32347;HELADO;17564,35;469,31;0,00;469,31;4258,16;76,80;4181,36;
19-2026;2866;LORCA;401404369;CARREFOUR DE MOJACAR;9673;HELADO;4885,66;145,64;0,00;145,64;1043,15;1129,96;-86,81;
19-2026;2866;LORCA;401236320;HOTEL MOJACAR PLAYA ACUAP;30993;HELADO;30658,61;659,10;0,00;659,10;0,00;0,00;0,00;
19-2026;2866;LORCA;400936278;AUTOSERVICIO ALIMENTACION;9171;HELADO;2853,29;156,14;0,00;156,14;717,22;922,08;-204,86;
19-2026;2866;LORCA;401383700;VENTA MURCIA;9676;HELADO;1750,61;62,29;0,00;62,29;371,40;38,40;333,00;
19-2026;2866;LORCA;401403957;ARTESANOS DE PULPI;6063;HELADO;1501,89;0,00;0,00;0,00;1501,89;0,00;1501,89;
19-2026;2866;LORCA;401309087;RERSTAURANTE YAHO;9409;HELADO;2172,36;79,21;0,00;79,21;956,73;564,00;392,73;
19-2026;2866;LORCA;401427880;PAUSE COFFE COCKTAIL;32924;HELADO;2000,00;51,60;0,00;51,60;0,00;0,00;0,00;
19-2026;2866;LORCA;401393791;CAFETERIA LA GRAMOLA;32751;HELADO;925,21;0,00;0,00;0,00;560,29;0,00;560,29;
19-2026;2866;LORCA;401361873;ALIPROX MOJACAR;39550;HELADO;831,86;0,00;0,00;0,00;678,47;0,00;678,47;
19-2026;2866;LORCA;401424044;RESTAURANTE MORALES;39128;HELADO;5000,00;129,00;0,00;129,00;737,00;725,24;11,76;
19-2026;2866;LORCA;401426786;MENOS MAL 25 HORAS;32917;HELADO;1000,00;25,80;0,00;25,80;111,20;0,00;111,20;
19-2026;2866;LORCA;401180854;CARNICERIA Y FRUTERIA;32299;HELADO;1175,56;30,08;0,00;30,08;667,48;675,76;-8,28;
19-2026;2866;LORCA;401405735;CAFE BAR LA BRISA;32846;HELADO;730,14;0,00;0,00;0,00;730,14;0,00;730,14;
19-2026;2866;LORCA;401180278;BOGAS LOCUTORIO;30621;HELADO;3930,10;72,43;0,00;72,43;1505,15;1989,52;-484,37;
19-2026;2866;LORCA;401012054;TIENDA CHINA;3327;HELADO;2146,17;125,21;0,00;125,21;691,66;906,44;-214,78;
19-2026;2866;LORCA;401409424;PASTELERIA LA LORQUINA;5082;HELADO;464,14;8,88;0,00;8,88;67,37;0,00;67,37;
19-2026;2866;LORCA;401313510;RESTAURANTE RINCON DEL RE;8704;HELADO;981,33;12,42;0,00;12,42;781,60;674,80;106,80;
19-2026;2866;LORCA;401349459;EL BALNEARIO;30268;HELADO;432,28;78,21;0,00;78,21;0,00;0,00;0,00;
19-2026;2866;LORCA;401180540;VIDEO CLUB ALARCON;32260;HELADO;1502,03;53,50;0,00;53,50;429,70;793,04;-363,34;
19-2026;2866;LORCA;401193897;KOMO KOMO VIATOR;39249;HELADO;7153,34;284,70;0,00;284,70;2233,49;2613,96;-380,47;
19-2026;2866;LORCA;401408010;PIZZERIA VESUVIO;9690;HELADO;2149,79;170,43;0,00;170,43;386,77;386,47;0,30;
19-2026;2866;LORCA;401263661;BAR EL TONEL;32414;HELADO;9361,72;167,57;0,00;167,57;710,99;0,00;710,99;
19-2026;2866;LORCA;401180414;E. S. SAN ISIDRO 12567 U;30052;HELADO;2007,47;139,06;0,00;139,06;229,36;1396,56;-1167,20;
19-2026;2866;LORCA;401351480;CONFITERIA NAVARRO;8333;HELADO;945,37;110,26;0,00;110,26;0,00;0,00;0,00;
19-2026;2866;LORCA;401354360;SALONES ZAIRA;1034;HELADO;685,96;164,63;0,00;164,63;0,00;0,00;0,00;
19-2026;2866;LORCA;401288252;E.S.REPSOL BOCA RIO 13345;39529;HELADO;2962,31;99,38;0,00;99,38;588,04;880,20;-292,16;
19-2026;2866;LORCA;866015670;ESTACION DE SERVICIO GOS;5670;HELADO;3127,87;16,49;0,00;16,49;1376,01;1396,56;-20,55;
19-2026;2866;LORCA;401424659;BAR PONIENTE;10420;HELADO;1000,00;25,80;0,00;25,80;147,40;964,64;-817,24;
19-2026;2866;LORCA;401383703;D'PASO;32332;HELADO;838,63;65,63;0,00;65,63;168,37;339,68;-171,31;
19-2026;2866;LORCA;401407867;BOKAO BAR;10019;HELADO;3192,90;69,16;0,00;69,16;528,91;371,48;157,43;
19-2026;2866;LORCA;401420761;RTE.LEONARDO SUL MADRE;10373;HELADO;4000,00;103,20;0,00;103,20;740,40;518,86;221,54;
19-2026;2866;LORCA;401420355;DON CROISSANT;32483;HELADO;10000,00;258,00;0,00;258,00;1851,00;2501,37;-650,37;
19-2026;2866;LORCA;401241238;MEDITERRANEO 24 HORAS;31030;HELADO;5112,54;145,72;0,00;145,72;1657,07;1602,52;54,55;
19-2026;2866;LORCA;401425969;RESTAURANTE;10436;HELADO;1000,00;25,80;0,00;25,80;111,20;128,00;-16,80;
19-2026;2866;LORCA;401401979;SUPERMERCADO EURO ECUADOR;9614;HELADO;2445,71;104,39;0,00;104,39;758,37;604,48;153,89;
19-2026;2866;LORCA;401378010;SUPERMERCADO ENNACIRI;8364;HELADO;1001,79;0,00;0,00;0,00;1001,79;0,00;1001,79;
19-2026;2866;LORCA;401403343;SUPERMERCADO CHARTER;8936;HELADO;1078,32;0,00;0,00;0,00;428,61;0,00;428,61;
19-2026;2866;LORCA;401292200;BAR EL PASEO;31966;HELADO;3049,52;65,21;0,00;65,21;1012,46;0,00;1012,46;
19-2026;2866;LORCA;401120562;SUPERMERCADO BD;8230;HELADO;1478,02;55,22;0,00;55,22;728,66;1025,56;-296,90;
19-2026;2866;LORCA;401312338;ALEX PIZZERIA;30605;HELADO;962,83;18,26;0,00;18,26;151,20;126,94;24,26;
19-2026;2866;LORCA;401350172;SUPER SOL BOLNUEVO;8419;HELADO;2104,18;323,96;0,00;323,96;0,00;0,00;0,00;
19-2026;2866;LORCA;401425295;KIOSCO BILAL;32909;HELADO;2500,00;75,88;0,00;75,88;327,06;679,24;-352,18;
19-2026;2866;LORCA;401352658;SAL Y ALMAGRE;8673;HELADO;2088,99;267,08;0,00;267,08;93,91;0,00;93,91;
19-2026;2866;LORCA;401355921;L0I622 COLEG SALADARES AL;39831;HELADO;801,38;147,08;0,00;147,08;0,00;0,00;0,00;
19-2026;2866;LORCA;401037413;CHIRINGUITO NARES;3587;HELADO;5440,73;157,70;0,00;157,70;250,90;592,32;-341,42;
19-2026;2866;LORCA;401421220;CARNICERIA HALAL;9547;HELADO;1000,00;25,80;0,00;25,80;185,10;1300,76;-1115,66;
19-2026;2866;LORCA;401264038;SERVICIO TRASMEDITERRANEA;39514;HELADO;2800,25;206,30;0,00;206,30;831,80;855,36;-23,56;
19-2026;2866;LORCA;866015992;E.S. EL PARETON 6430;5992;HELADO;2894,31;90,36;0,00;90,36;757,60;677,04;80,56;
19-2026;2866;LORCA;401280040;LA INESPERADA;8730;HELADO;1796,53;22,41;0,00;22,41;656,90;191,20;465,70;
19-2026;2866;LORCA;401379227;E.S.REPSOL 97181 LAS NORI;32692;HELADO;719,01;172,56;0,00;172,56;0,00;0,00;0,00;
19-2026;2866;LORCA;401411883;ALIMENTACION TOTANA;9193;HELADO;499,27;12,89;0,00;12,89;98,57;0,00;98,57;
19-2026;2866;LORCA;401420491;BIS G'S AMERICAN DINER;10040;HELADO;2000,00;51,60;0,00;51,60;370,20;1396,56;-1026,36;
19-2026;2866;LORCA;401180572;CAFETERIA PUB BAHIA;30152;HELADO;5632,62;137,58;0,00;137,58;835,12;1289,19;-454,07;
19-2026;2866;LORCA;401166939;E.S. EL ARTINERO;7723;HELADO;1546,01;24,53;0,00;24,53;882,68;873,08;9,60;
19-2026;2866;LORCA;401427086;EL MUNDO DE LAS CHUCHES;32920;HELADO;6500,00;167,70;0,00;167,70;722,80;335,16;387,64;
19-2026;2866;LORCA;401406265;RESTAURANTE LA GASOLINERA;9625;HELADO;3879,20;246,09;0,00;246,09;720,53;0,00;720,53;
19-2026;2866;LORCA;401402125;KIOSCO CARMEN SEVILLA;32819;HELADO;4552,93;21,45;0,00;21,45;1777,89;0,00;1777,89;
19-2026;2866;LORCA;401421526;DON MARKET AGUILAS;7600;HELADO;1000,00;25,80;0,00;25,80;185,10;1396,56;-1211,46;
19-2026;2866;LORCA;401180762;RESTAURANTE LA LONJA;30261;HELADO;2767,89;35,18;0,00;35,18;873,10;695,25;177,85;
19-2026;2866;LORCA;401415371;CAFETERIA LEROY MERLIN C.;31116;HELADO;1873,27;49,96;0,00;49,96;382,05;0,00;382,05;
19-2026;2866;LORCA;401423949;CANTINA PURIAS;10414;HELADO;1000,00;25,80;0,00;25,80;147,40;0,00;147,40;
19-2026;2866;LORCA;401415497;LA GRACIA DE DIOS;3860;HELADO;899,73;23,22;0,00;23,22;177,55;0,00;177,55;
19-2026;2866;LORCA;401422040;CAFETERIA O SOLE MIO;35079;HELADO;2000,00;51,60;0,00;51,60;294,80;643,62;-348,82;
19-2026;2866;LORCA;400970568;RECEPCION TIENDA CAMPING;2123;HELADO;2801,21;42,82;0,00;42,82;1268,89;762,04;506,85;
19-2026;2866;LORCA;401180213;KIOSCO CAMY(POCICO);30568;HELADO;11380,63;422,27;0,00;422,27;1757,27;2265,68;-508,41;
19-2026;2866;LORCA;401235489;RTE.PIZZERIA EL TIBURON;30988;HELADO;3130,85;67,03;0,00;67,03;572,51;744,92;-172,41;
19-2026;2866;LORCA;401125770;HIPER CHINA;7417;HELADO;2033,67;103,61;0,00;103,61;892,88;1103,36;-210,48;
19-2026;2866;LORCA;401422201;BAR GEMINIS;10396;HELADO;1000,00;25,80;0,00;25,80;147,40;742,92;-595,52;
19-2026;2866;LORCA;401286592;RTE.DEL CASA NONO;9508;HELADO;912,48;32,20;0,00;32,20;375,89;442,20;-66,31;
19-2026;2866;LORCA;401232191;TRIFULA RISTORANTE BAR;9355;HELADO;765,24;98,43;0,00;98,43;0,00;374,76;-374,76;
19-2026;2866;LORCA;401414364;LOS ANGELES AAVV;8442;HELADO;599,82;15,48;0,00;15,48;118,37;0,00;118,37;
19-2026;2866;LORCA;401376873;SUPERMERCADO SAN JUAN 5;32675;HELADO;2582,36;92,89;0,00;92,89;861,03;0,00;861,03;
19-2026;2866;LORCA;401400116;KEBAB RICO;9627;HELADO;1031,44;0,00;0,00;0,00;1031,44;0,00;1031,44;
19-2026;2866;LORCA;401265021;E.S.REPSOL ADRA;31951;HELADO;1765,55;32,68;0,00;32,68;471,95;716,12;-244,17;
19-2026;2866;LORCA;401324660;RESTAURANTE SHANGHAI;8301;HELADO;781,23;61,27;0,00;61,27;258,63;0,00;258,63;
19-2026;2866;LORCA;401394725;PADEL EL REAL;9042;HELADO;2048,24;66,34;0,00;66,34;0,00;128,77;-128,77;
19-2026;2866;LORCA;401410752;CAFETERIA LA MAR;9579;HELADO;5628,26;168,22;0,00;168,22;1260,64;0,00;1260,64;
19-2026;2866;LORCA;401417575;TRECE NUDOS;32288;HELADO;1212,93;28,58;0,00;28,58;218,56;346,91;-128,35;
19-2026;2866;LORCA;401375007;BLUE ICE CREAM CAFE BAR;8407;HELADO;410,09;5,02;0,00;5,02;389,16;0,00;389,16;
19-2026;2866;LORCA;401352082;CAFETERIA CARMA;32542;HELADO;5523,52;377,26;0,00;377,26;1142,91;1624,31;-481,40;
19-2026;2866;LORCA;401428000;LA CESTA JUAN CARLOS I;32926;HELADO;900,00;23,22;0,00;23,22;0,00;0,00;0,00;
19-2026;2866;LORCA;401423202;ACHONERIA;10408;HELADO;2000,00;51,60;0,00;51,60;294,80;773,12;-478,32;
19-2026;2866;LORCA;401091614;MANCIO;3428;HELADO;1608,84;49,80;0,00;49,80;432,32;406,60;25,72;
19-2026;2866;LORCA;401180477;LOCUTORIO NUEVO MERCADO;31977;HELADO;521,34;125,12;0,00;125,12;0,00;0,00;0,00;
19-2026;2866;LORCA;401415608;E.S.PRIBAYO 33722;70086;HELADO;2319,37;43,11;0,00;43,11;329,69;0,00;329,69;
19-2026;2866;LORCA;401402015;BAR COLON;9649;HELADO;1505,56;59,57;0,00;59,57;818,53;0,00;818,53;
19-2026;2866;LORCA;401350887;CAFETERIA DULCE LUNA;10021;BEBIBLES;2642,79;81,11;0,00;81,11;305,30;0,00;305,30;
19-2026;2866;LORCA;401352193;HELADERIA PATAPALO;8236;BEBIBLES;4157,01;221,08;0,00;221,08;458,22;922,89;-464,67;
19-2026;2866;LORCA;401401863;BAR LA PAMPA;8080;BEBIBLES;1246,16;39,99;0,00;39,99;190,72;176,06;14,66;
19-2026;2866;LORCA;401307447;CAFETERIA BOX BANK;9500;BEBIBLES;999,76;29,99;0,00;29,99;249,94;208,70;41,24;
19-2026;2866;LORCA;401324964;CAFETERIA AROMA Y SABOR;40500;BEBIBLES;708,16;39,99;0,00;39,99;0,00;0,00;0,00;
19-2026;2866;LORCA;401422961;HELADERIA LUCA;32516;BEBIBLES;50000,00;1435,20;0,00;1435,20;4800,00;876,54;3923,46;
19-2026;2866;LORCA;401400565;EL ARTE CENTRO;9635;BEBIBLES;1451,24;109,97;0,00;109,97;76,57;0,00;76,57;
19-2026;2866;LORCA;401327180;RESTAURANTE TARAY;32805;BEBIBLES;1957,86;0,00;0,00;0,00;83,31;0,00;83,31;
19-2026;2866;LORCA;401412125;IS 'BLISS DESERT ROOM';9566;BEBIBLES;541,19;10,99;0,00;10,99;50,41;0,00;50,41;
19-2026;2866;LORCA;400973373;CAFETERIA PIZZERIA VIGGOS;2295;BEBIBLES;1641,46;49,99;0,00;49,99;291,60;302,63;-11,03;
19-2026;2866;LORCA;401408073;CAFE LA YUNGA;32291;BEBIBLES;3429,70;82,50;0,00;82,50;378,26;0,00;378,26;
19-2026;2866;LORCA;401385241;PEDRO'S PIZZA;8501;BEBIBLES;1503,75;27,29;0,00;27,29;556,61;0,00;556,61;
19-2026;2866;LORCA;401409424;PASTELERIA LA LORQUINA;5082;BEBIBLES;1060,00;28,93;0,00;28,93;132,63;0,00;132,63;
19-2026;2866;LORCA;401180572;CAFETERIA PUB BAHIA;30152;BEBIBLES;1966,25;66,44;0,00;66,44;221,46;319,09;-97,63;
19-2026;2866;LORCA;401410752;CAFETERIA LA MAR;9579;BEBIBLES;881,14;20,21;0,00;20,21;92,68;0,00;92,68;
19-2026;2866;LORCA;401180551;HELADERIA SCOTIA;30139;FROZEN FOOD;1611,43;26,37;0,00;26,37;476,10;288,40;187,70;
19-2026;2866;LORCA;401180294;KIOSKO DON ANGEL@;31168;FROZEN FOOD;842,34;17,58;0,00;17,58;256,36;257,60;-1,24;
19-2026;2866;LORCA;866016344;RESTAURANTE B2;6344;FROZEN FOOD;1756,70;47,73;0,00;47,73;198,87;460,56;-261,69;
19-2026;2866;LORCA;866010633;PIZZERIA COSTA;633;FROZEN FOOD;582,91;22,62;0,00;22,62;208,39;189,24;19,15;
19-2026;2866;LORCA;401180422;HOTEL PLAYA SOL;30060;FROZEN FOOD;503,83;0,00;0,00;0,00;72,90;0,00;72,90;
19-2026;2866;LORCA;401233444;CHIRINGUITO ESTRELLA MAR;7589;FROZEN FOOD;635,79;0,00;0,00;0,00;635,79;0,00;635,79;
19-2026;2866;LORCA;866015811;CHIRINGUITO CANAL NAUTICO;9636;FROZEN FOOD;1993,13;27,30;0,00;27,30;231,28;0,00;231,28;
