Semana-A¤o;C.Ofi;Oficina Venta;Cod.Cliente Winter;Nombre Comercial;CodigoInterno;Canal;Cuota Anual;Cuota Mes;Venta Mes;Dif. Mes;Cuota Cum;Venta Cum;Dif. Cum;
19-2026;2866;LORCA;401363224;SUPERMERCADO PLAYATE;8434;HELADO;1466,94;-19,56;0,00;-19,56;228,80;0,00;228,80;
19-2026;2866;LORCA;401332448;CAFETERIA CERO CAFE;30336;HELADO;1935,37;71,51;0,00;71,51;450,82;0,00;450,82;
19-2026;2866;LORCA;401285109;MOLINOS 18;32691;HELADO;684,25;0,00;0,00;0,00;684,25;0,00;684,25;
19-2026;2866;LORCA;401424769;CAFETERIA SANTI 2;10423;HELADO;1000,00;25,80;0,00;25,80;111,20;0,00;111,20;
19-2026;2866;LORCA;401414013;ARREA;10138;HELADO;876,94;24,17;0,00;24,17;184,83;0,00;184,83;
19-2026;2866;LORCA;401262371;CASA DIEGO 3¦EDAD;32015;HELADO;1633,44;57,67;0,00;57,67;212,27;0,00;212,27;
19-2026;2866;LORCA;866011264;PANADERIA COYFER, S.L.;1264;HELADO;6730,47;60,17;0,00;60,17;1468,49;1573,64;-105,15;
19-2026;2866;LORCA;401425761;CAFETERIA PUZZLE;32911;HELADO;1500,00;38,70;0,00;38,70;166,80;735,24;-568,44;
19-2026;2866;LORCA;401285807;RESTAURANTE NEW PONGO;9402;HELADO;652,43;8,82;0,00;8,82;96,95;214,82;-117,87;
19-2026;2866;LORCA;401373979;BAR LA PALESTRA;8366;HELADO;3063,06;43,59;0,00;43,59;1129,29;106,32;1022,97;
19-2026;2866;LORCA;401427884;SALONES DE JUEGO CIRSA;39268;HELADO;900,00;23,22;0,00;23,22;0,00;0,00;0,00;
19-2026;2866;LORCA;401181220;DULCE Y SALADO Y MAS;32636;HELADO;2000,78;6,63;0,00;6,63;845,32;712,40;132,92;
19-2026;2866;LORCA;401400151;KIOSCO LA ISLETA;32768;HELADO;22573,73;520,38;0,00;520,38;3979,47;2519,24;1460,23;
19-2026;2866;LORCA;401409980;CAFETERIA A MI MANERA;32865;HELADO;1055,48;26,90;0,00;26,90;205,70;0,00;205,70;
19-2026;2866;LORCA;866012914;PINAR LA DE  ALFAHUARA;7480;HELADO;6953,58;17,54;0,00;17,54;1854,92;1555,32;299,60;
19-2026;2866;LORCA;866016307;RESTAURANTE DON TADEO;6307;HELADO;3409,94;171,37;0,00;171,37;1030,83;617,18;413,65;
19-2026;2866;LORCA;401324411;CAFETERIA STUDIO 54;8298;HELADO;1939,14;121,57;0,00;121,57;969,42;0,00;969,42;
19-2026;2866;LORCA;401180285;BP ESTACION DE SERVICIO;32435;HELADO;1994,92;91,18;0,00;91,18;700,44;707,96;-7,52;
